L1,L2,L3,F1,F2,F3,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12
27.500,37.500,37.500,0.100,111.152,100.725,17.908,-0.000,16.682,17.341,9.708,15.922,17.668,15.010,16.478,18.072,21.824,16.497,18.317,27.185,17.124,18.628,34.524,17.350,19.210,39.896,18.082,19.745,47.136,18.832,20.165,52.246,20.122,20.617,59.737,21.690,20.958,64.922,23.494,20.878,73.180,27.468
27.000,37.500,37.500,0.100,111.152,100.725,17.908,-0.000,16.682,17.341,9.708,15.922,17.668,15.010,16.478,18.072,21.824,16.497,18.317,27.185,17.124,18.628,34.524,17.350,19.210,39.896,18.082,19.745,47.136,18.832,20.165,52.246,20.122,20.617,59.737,21.690,20.958,64.922,23.494,20.878,73.180,27.468
26.500,37.500,37.500,0.100,110.946,100.415,17.908,-0.000,16.682,17.341,9.714,15.923,17.669,15.030,16.485,18.078,21.875,16.524,18.326,27.246,17.178,18.646,34.610,17.464,19.233,39.986,18.252,19.777,47.247,19.112,20.201,52.345,20.501,20.660,59.832,22.268,20.999,64.973,24.234,20.910,73.132,28.510
26.000,37.500,37.500,0.100,110.946,100.415,17.908,-0.000,16.682,17.341,9.714,15.923,17.669,15.030,16.485,18.078,21.875,16.524,18.326,27.246,17.178,18.646,34.610,17.464,19.233,39.986,18.252,19.777,47.247,19.112,20.201,52.345,20.501,20.660,59.832,22.268,20.999,64.973,24.234,20.910,73.132,28.510
25.500,37.500,37.500,0.100,110.946,100.415,17.908,-0.000,16.682,17.341,9.714,15.923,17.669,15.030,16.485,18.078,21.875,16.524,18.326,27.246,17.178,18.646,34.610,17.464,19.233,39.986,18.252,19.777,47.247,19.112,20.201,52.345,20.501,20.660,59.832,22.268,20.999,64.973,24.234,20.910,73.132,28.510
25.000,37.500,37.500,0.100,110.743,100.101,17.908,-0.000,16.682,17.340,9.719,15.924,17.669,15.049,16.491,18.084,21.924,16.551,18.336,27.305,17.233,18.662,34.693,17.576,19.254,40.073,18.422,19.807,47.350,19.389,20.234,52.435,20.874,20.699,59.913,22.832,21.037,65.007,24.952,20.940,73.060,29.510
24.500,37.500,37.500,0.100,110.743,100.101,17.908,-0.000,16.682,17.340,9.719,15.924,17.669,15.049,16.491,18.084,21.924,16.551,18.336,27.305,17.233,18.662,34.693,17.576,19.254,40.073,18.422,19.807,47.350,19.389,20.234,52.435,20.874,20.699,59.913,22.832,21.037,65.007,24.952,20.940,73.060,29.510
24.000,37.500,37.500,0.100,110.743,100.101,17.908,-0.000,16.682,17.340,9.719,15.924,17.669,15.049,16.491,18.084,21.924,16.551,18.336,27.305,17.233,18.662,34.693,17.576,19.254,40.073,18.422,19.807,47.350,19.389,20.234,52.435,20.874,20.699,59.913,22.832,21.037,65.007,24.952,20.940,73.060,29.510
23.500,37.500,37.500,0.100,110.542,99.786,17.908,-0.000,16.682,17.340,9.725,15.925,17.669,15.068,16.498,18.089,21.971,16.578,18.344,27.362,17.288,18.677,34.772,17.689,19.274,40.155,18.590,19.835,47.447,19.662,20.266,52.517,21.241,20.736,59.982,23.383,21.073,65.026,25.648,20.967,72.967,30.473
23.000,37.500,37.500,0.100,110.542,99.786,17.908,-0.000,16.682,17.340,9.725,15.925,17.669,15.068,16.498,18.089,21.971,16.578,18.344,27.362,17.288,18.677,34.772,17.689,19.274,40.155,18.590,19.835,47.447,19.662,20.266,52.517,21.241,20.736,59.982,23.383,21.073,65.026,25.648,20.967,72.967,30.473
22.500,37.500,37.500,0.100,110.542,99.786,17.908,-0.000,16.682,17.340,9.725,15.925,17.669,15.068,16.498,18.089,21.971,16.578,18.344,27.362,17.288,18.677,34.772,17.689,19.274,40.155,18.590,19.835,47.447,19.662,20.266,52.517,21.241,20.736,59.982,23.383,21.073,65.026,25.648,20.967,72.967,30.473
22.000,37.500,37.500,0.100,110.542,99.786,17.908,-0.000,16.682,17.340,9.725,15.925,17.669,15.068,16.498,18.089,21.971,16.578,18.344,27.362,17.288,18.677,34.772,17.689,19.274,40.155,18.590,19.835,47.447,19.662,20.266,52.517,21.241,20.736,59.982,23.383,21.073,65.026,25.648,20.967,72.967,30.473
21.500,37.500,37.500,0.100,110.345,99.471,17.908,-0.000,16.682,17.339,9.730,15.926,17.669,15.086,16.504,18.095,22.017,16.605,18.353,27.417,17.343,18.692,34.849,17.801,19.293,40.234,18.757,19.862,47.538,19.933,20.296,52.591,21.603,20.771,60.038,23.922,21.106,65.031,26.324,20.991,72.855,31.401
21.000,37.500,37.500,0.100,110.345,99.471,17.908,-0.000,16.682,17.339,9.730,15.926,17.669,15.086,16.504,18.095,22.017,16.605,18.353,27.417,17.343,18.692,34.849,17.801,19.293,40.234,18.757,19.862,47.538,19.933,20.296,52.591,21.603,20.771,60.038,23.922,21.106,65.031,26.324,20.991,72.855,31.401
20.500,37.500,37.500,0.100,110.345,99.471,17.908,-0.000,16.682,17.339,9.730,15.926,17.669,15.086,16.504,18.095,22.017,16.605,18.353,27.417,17.343,18.692,34.849,17.801,19.293,40.234,18.757,19.862,47.538,19.933,20.296,52.591,21.603,20.771,60.038,23.922,21.106,65.031,26.324,20.991,72.855,31.401
20.000,37.500,37.500,0.100,110.150,99.157,17.908,-0.000,16.682,17.339,9.735,15.927,17.670,15.103,16.511,18.099,22.062,16.633,18.360,27.470,17.398,18.706,34.923,17.913,19.311,40.308,18.924,19.888,47.623,20.202,20.324,52.659,21.960,20.804,60.084,24.450,21.136,65.023,26.982,21.013,72.727,32.296
19.500,37.500,37.500,0.100,110.150,99.157,17.908,-0.000,16.682,17.339,9.735,15.927,17.670,15.103,16.511,18.099,22.062,16.633,18.360,27.470,17.398,18.706,34.923,17.913,19.311,40.308,18.924,19.888,47.623,20.202,20.324,52.659,21.960,20.804,60.084,24.450,21.136,65.023,26.982,21.013,72.727,32.296
19.000,37.500,37.500,0.100,110.150,99.157,17.908,-0.000,16.682,17.339,9.735,15.927,17.670,15.103,16.511,18.099,22.062,16.633,18.360,27.470,17.398,18.706,34.923,17.913,19.311,40.308,18.924,19.888,47.623,20.202,20.324,52.659,21.960,20.804,60.084,24.450,21.136,65.023,26.982,21.013,72.727,32.296
18.500,37.500,37.500,0.100,109.959,98.845,17.908,-0.000,16.682,17.338,9.740,15.929,17.670,15.120,16.517,18.104,22.106,16.660,18.368,27.521,17.452,18.719,34.994,18.025,19.328,40.379,19.089,19.912,47.703,20.468,20.351,52.719,22.312,20.834,60.119,24.967,21.165,65.004,27.623,21.034,72.584,33.161
18.000,37.500,37.500,0.100,109.959,98.845,17.908,-0.000,16.682,17.338,9.740,15.929,17.670,15.120,16.517,18.104,22.106,16.660,18.368,27.521,17.452,18.719,34.994,18.025,19.328,40.379,19.089,19.912,47.703,20.468,20.351,52.719,22.312,20.834,60.119,24.967,21.165,65.004,27.623,21.034,72.584,33.161
17.500,37.500,37.500,0.100,109.959,98.845,17.908,-0.000,16.682,17.338,9.740,15.929,17.670,15.120,16.517,18.104,22.106,16.660,18.368,27.521,17.452,18.719,34.994,18.025,19.328,40.379,19.089,19.912,47.703,20.468,20.351,52.719,22.312,20.834,60.119,24.967,21.165,65.004,27.623,21.034,72.584,33.161
17.000,37.500,37.500,0.100,109.772,98.536,17.908,-0.000,16.682,17.338,9.745,15.930,17.670,15.136,16.524,18.108,22.148,16.688,18.374,27.571,17.507,18.731,35.062,18.137,19.345,40.447,19.255,19.935,47.777,20.732,20.376,52.773,22.660,20.863,60.144,25.474,21.192,64.973,28.248,21.052,72.428,33.998
16.500,37.500,37.500,0.100,109.772,98.536,17.908,-0.000,16.682,17.338,9.745,15.930,17.670,15.136,16.524,18.108,22.148,16.688,18.374,27.571,17.507,18.731,35.062,18.137,19.345,40.447,19.255,19.935,47.777,20.732,20.376,52.773,22.660,20.863,60.144,25.474,21.192,64.973,28.248,21.052,72.428,33.998
16.000,37.500,37.500,0.100,109.772,98.536,17.908,-0.000,16.682,17.338,9.745,15.930,17.670,15.136,16.524,18.108,22.148,16.688,18.374,27.571,17.507,18.731,35.062,18.137,19.345,40.447,19.255,19.935,47.777,20.732,20.376,52.773,22.660,20.863,60.144,25.474,21.192,64.973,28.248,21.052,72.428,33.998
15.500,37.500,37.500,0.100,109.587,98.231,17.908,-0.000,16.682,17.337,9.750,15.932,17.670,15.152,16.530,18.111,22.190,16.715,18.381,27.619,17.562,18.742,35.128,18.249,19.360,40.511,19.419,19.957,47.847,20.995,20.400,52.821,23.004,20.890,60.160,25.972,21.217,64.933,28.859,21.069,72.260,34.809
