L1,L2,L3,F1,F2,F3,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36
5.500,5.500,5.500,34.411,37.986,37.416,18.355,-0.000,9.910,17.085,10.696,8.724,17.466,18.735,8.913,17.598,29.538,8.826,17.479,37.661,9.015,17.397,48.590,8.977,17.715,56.620,9.046,17.533,67.679,9.059,17.568,75.716,9.282,17.703,86.604,9.386,18.084,94.680,9.417,17.537,105.496,8.544,10.631,-0.000,20.574,9.269,10.385,22.266,9.516,18.729,22.691,9.249,29.380,22.351,9.544,37.670,22.778,9.249,48.333,22.439,9.546,56.685,22.868,9.299,67.318,22.567,9.621,75.612,23.052,9.349,86.295,22.789,9.642,94.610,23.286,8.957,105.443,23.290,24.738,-0.000,19.561,25.780,10.379,22.195,25.546,18.686,22.727,25.727,29.363,22.432,25.558,37.641,22.825,25.729,48.316,22.529,25.575,56.607,22.908,25.791,67.265,22.658,25.634,75.580,23.101,25.834,86.295,22.879,25.641,94.635,23.333,26.253,105.502,23.261
6.000,6.000,6.000,34.411,37.986,37.416,18.355,-0.000,9.910,17.085,10.696,8.724,17.466,18.735,8.913,17.598,29.538,8.826,17.479,37.661,9.015,17.397,48.590,8.977,17.715,56.620,9.046,17.533,67.679,9.059,17.568,75.716,9.282,17.703,86.604,9.386,18.084,94.680,9.417,17.537,105.496,8.544,10.631,-0.000,20.574,9.269,10.385,22.266,9.516,18.729,22.691,9.249,29.380,22.351,9.544,37.670,22.778,9.249,48.333,22.439,9.546,56.685,22.868,9.299,67.318,22.567,9.621,75.612,23.052,9.349,86.295,22.789,9.642,94.610,23.286,8.957,105.443,23.290,24.738,-0.000,19.561,25.780,10.379,22.195,25.546,18.686,22.727,25.727,29.363,22.432,25.558,37.641,22.825,25.729,48.316,22.529,25.575,56.607,22.908,25.791,67.265,22.658,25.634,75.580,23.101,25.834,86.295,22.879,25.641,94.635,23.333,26.253,105.502,23.261
6.500,6.500,6.500,34.411,37.986,37.416,18.355,-0.000,9.910,17.085,10.696,8.724,17.466,18.735,8.913,17.598,29.538,8.826,17.479,37.661,9.015,17.397,48.590,8.977,17.715,56.620,9.046,17.533,67.679,9.059,17.568,75.716,9.282,17.703,86.604,9.386,18.084,94.680,9.417,17.537,105.496,8.544,10.631,-0.000,20.574,9.269,10.385,22.266,9.516,18.729,22.691,9.249,29.380,22.351,9.544,37.670,22.778,9.249,48.333,22.439,9.546,56.685,22.868,9.299,67.318,22.567,9.621,75.612,23.052,9.349,86.295,22.789,9.642,94.610,23.286,8.957,105.443,23.290,24.738,-0.000,19.561,25.780,10.379,22.195,25.546,18.686,22.727,25.727,29.363,22.432,25.558,37.641,22.825,25.729,48.316,22.529,25.575,56.607,22.908,25.791,67.265,22.658,25.634,75.580,23.101,25.834,86.295,22.879,25.641,94.635,23.333,26.253,105.502,23.261
7.000,7.000,7.000,48.937,54.554,53.549,18.355,-0.000,9.910,17.085,10.637,8.705,17.470,18.591,8.914,17.607,29.139,8.837,17.492,37.194,9.043,17.413,47.909,9.014,17.743,55.859,9.098,17.576,66.709,9.130,17.619,74.665,9.380,17.759,85.346,9.515,18.145,93.346,9.579,17.594,103.993,8.758,10.631,-0.000,20.574,9.278,10.353,22.281,9.516,18.524,22.719,9.256,29.049,22.387,9.557,37.148,22.829,9.261,47.689,22.497,9.565,55.868,22.940,9.332,66.369,22.658,9.666,74.472,23.173,9.401,85.037,22.940,9.697,93.166,23.471,9.020,103.941,23.506,24.738,-0.000,19.561,25.775,10.358,22.211,25.556,18.468,22.755,25.740,29.022,22.470,25.576,37.109,22.878,25.748,47.659,22.592,25.604,55.766,22.981,25.835,66.294,22.755,25.686,74.428,23.226,25.894,85.032,23.036,25.698,93.201,23.522,26.295,104.001,23.476
7.500,7.500,7.500,48.937,54.554,53.549,18.355,-0.000,9.910,17.085,10.637,8.705,17.470,18.591,8.914,17.607,29.139,8.837,17.492,37.194,9.043,17.413,47.909,9.014,17.743,55.859,9.098,17.576,66.709,9.130,17.619,74.665,9.380,17.759,85.346,9.515,18.145,93.346,9.579,17.594,103.993,8.758,10.631,-0.000,20.574,9.278,10.353,22.281,9.516,18.524,22.719,9.256,29.049,22.387,9.557,37.148,22.829,9.261,47.689,22.497,9.565,55.868,22.940,9.332,66.369,22.658,9.666,74.472,23.173,9.401,85.037,22.940,9.697,93.166,23.471,9.020,103.941,23.506,24.738,-0.000,19.561,25.775,10.358,22.211,25.556,18.468,22.755,25.740,29.022,22.470,25.576,37.109,22.878,25.748,47.659,22.592,25.604,55.766,22.981,25.835,66.294,22.755,25.686,74.428,23.226,25.894,85.032,23.036,25.698,93.201,23.522,26.295,104.001,23.476
8.000,8.000,8.000,48.937,54.554,53.549,18.355,-0.000,9.910,17.085,10.637,8.705,17.470,18.591,8.914,17.607,29.139,8.837,17.492,37.194,9.043,17.413,47.909,9.014,17.743,55.859,9.098,17.576,66.709,9.130,17.619,74.665,9.380,17.759,85.346,9.515,18.145,93.346,9.579,17.594,103.993,8.758,10.631,-0.000,20.574,9.278,10.353,22.281,9.516,18.524,22.719,9.256,29.049,22.387,9.557,37.148,22.829,9.261,47.689,22.497,9.565,55.868,22.940,9.332,66.369,22.658,9.666,74.472,23.173,9.401,85.037,22.940,9.697,93.166,23.471,9.020,103.941,23.506,24.738,-0.000,19.561,25.775,10.358,22.211,25.556,18.468,22.755,25.740,29.022,22.470,25.576,37.109,22.878,25.748,47.659,22.592,25.604,55.766,22.981,25.835,66.294,22.755,25.686,74.428,23.226,25.894,85.032,23.036,25.698,93.201,23.522,26.295,104.001,23.476
8.500,8.500,8.500,51.811,57.950,56.439,18.355,-0.000,9.910,17.085,10.579,8.686,17.475,18.448,8.916,17.619,28.739,8.847,17.508,36.726,9.070,17.434,47.227,9.049,17.778,55.098,9.147,17.626,65.738,9.197,17.679,73.613,9.473,17.825,84.086,9.638,18.216,92.011,9.735,17.662,102.489,8.964,10.631,-0.000,20.574,9.288,10.322,22.296,9.517,18.321,22.746,9.265,28.719,22.422,9.572,36.628,22.876,9.279,47.045,22.552,9.590,55.053,23.008,9.373,65.421,22.744,9.721,73.331,23.287,9.462,83.779,23.084,9.763,91.721,23.648,9.092,102.438,23.713,24.738,-0.000,19.561,25.771,10.337,22.227,25.566,18.249,22.782,25.755,28.680,22.507,25.597,36.574,22.929,25.772,47.001,22.653,25.639,54.922,23.050,25.886,65.321,22.847,25.746,73.275,23.346,25.964,83.768,23.186,25.765,91.765,23.704,26.348,102.499,23.683
9.000,9.000,9.000,51.811,57.950,56.439,18.355,-0.000,9.910,17.085,10.579,8.686,17.475,18.448,8.916,17.619,28.739,8.847,17.508,36.726,9.070,17.434,47.227,9.049,17.778,55.098,9.147,17.626,65.738,9.197,17.679,73.613,9.473,17.825,84.086,9.638,18.216,92.011,9.735,17.662,102.489,8.964,10.631,-0.000,20.574,9.288,10.322,22.296,9.517,18.321,22.746,9.265,28.719,22.422,9.572,36.628,22.876,9.279,47.045,22.552,9.590,55.053,23.008,9.373,65.421,22.744,9.721,73.331,23.287,9.462,83.779,23.084,9.763,91.721,23.648,9.092,102.438,23.713,24.738,-0.000,19.561,25.771,10.337,22.227,25.566,18.249,22.782,25.755,28.680,22.507,25.597,36.574,22.929,25.772,47.001,22.653,25.639,54.922,23.050,25.886,65.321,22.847,25.746,73.275,23.346,25.964,83.768,23.186,25.765,91.765,23.704,26.348,102.499,23.683
9.500,9.500,9.500,51.811,57.950,56.439,18.355,-0.000,9.910,17.085,10.579,8.686,17.475,18.448,8.916,17.619,28.739,8.847,17.508,36.726,9.070,17.434,47.227,9.049,17.778,55.098,9.147,17.626,65.738,9.197,17.679,73.613,9.473,17.825,84.086,9.638,18.216,92.011,9.735,17.662,102.489,8.964,10.631,-0.000,20.574,9.288,10.322,22.296,9.517,18.321,22.746,9.265,28.719,22.422,9.572,36.628,22.876,9.279,47.045,22.552,9.590,55.053,23.008,9.373,65.421,22.744,9.721,73.331,23.287,9.462,83.779,23.084,9.763,91.721,23.648,9.092,102.438,23.713,24.738,-0.000,19.561,25.771,10.337,22.227,25.566,18.249,22.782,25.755,28.680,22.507,25.597,36.574,22.929,25.772,47.001,22.653,25.639,54.922,23.050,25.886,65.321,22.847,25.746,73.275,23.346,25.964,83.768,23.186,25.765,91.765,23.704,26.348,102.499,23.683
10.000,10.000,10.000,54.625,61.417,59.397,18.355,-0.000,9.910,17.085,10.521,8.667,17.480,18.304,8.916,17.632,28.339,8.855,17.527,36.257,9.094,17.459,46.544,9.080,17.818,54.335,9.191,17.684,64.766,9.258,17.747,72.559,9.558,17.900,82.825,9.751,18.297,90.675,9.880,17.740,100.984,9.157,10.631,-0.000,20.574,9.297,10.291,22.310,9.519,18.119,22.772,9.277,28.389,22.455,9.591,36.108,22.921,9.301,46.402,22.602,9.620,54.239,23.071,9.420,64.474,22.824,9.783,72.191,23.393,9.532,82.521,23.217,9.837,90.276,23.813,9.173,100.935,23.907,24.738,-0.000,19.561,25.766,10.316,22.243,25.576,18.030,22.807,25.771,28.337,22.542,25.620,36.038,22.977,25.800,46.340,22.709,25.678,54.077,23.115,25.943,64.346,22.933,25.812,72.121,23.457,26.040,82.501,23.327,25.840,90.329,23.875,26.409,100.997,23.877
